,datetime,sentiment,locations,labels
109,2022-02-23 00:26:15+00:00,survey litbang kompas masyarakat puas kerja perintah parpol pdip gerindra demokrat capres uzzer bingung survey menujukkan kerja muas favorit capres,tangerang,neutral
110,2022-01-30 23:03:46+00:00,maen presiden kah wan abud, jakarta,negative
111,2022-08-31 23:29:45+00:00,ngga tumpeng nyembeleh kebo pas jokowi udah ngga presiden wujud syukur,jakarta ,negative
112,2022-05-31 01:32:32+00:00,yes pas mantap ganjar presiden,surabaya,positive
113,2022-02-28 12:00:43+00:00,kalo yg unggul gak tunda pemiluakal sehat,jakarta,neutral
114,2022-03-27 08:24:43+00:00,dokter awan berkarir ln drpd indonesia kontribusi ilmu beliau harga butuh perhati presiden menhan presiden,jakarta,neutral
115,2022-12-26 13:16:50+00:00,moga dg doa santri barokah nya jalan pilpres mudah menang aamiin,bandung,positive
116,2022-11-29 22:42:49+00:00,pimpin jateng kerja bocor warga presiden knp dmikian krna beliau bener maksimal dlm layan wargarakyat pemimpinyg emban ya layak,depok,positive
117,2022-03-31 04:16:16+00:00,nikmatin aja sakit ati loe drun next presiden nambah sakit ati loe mending minggat yaman sono drunn bareng riziq cabul sono,surabaya,negative
118,2022-05-18 23:35:51+00:00,tanggung sukses milu sehat bebas korupsi integritas selamat pimpin kpk gagas,jakarta,positive
119,2022-11-27 23:53:14+00:00,prabowo negarawan dukung anies pilpres gubernur dki presiden ri momentum puncak prabowo presiden ri sayang manfaat dukung kecewa,malang,neutral
120,2022-08-31 00:22:22+00:00,presiden omong nya aja pecah belah yg ngomong kayak gitu,jakarta,negative
121,2022-03-24 23:17:24+00:00,bismillah kemarin partai gelora hadir daring sidang judicial review uu no pilih mahkamah konstitusi usul pileg amp pilpres laksana pisah laksana demokrasi kualitas,jakarta,positive
122,2022-02-28 05:35:27+00:00,hebat contoh milu undur gmn nih udah begah ruweeeet nya,jakarta ,negative
123,2022-12-30 20:59:13+00:00,prediksi pilpres ikut capres prabowo subianto gerindrapkb anies baswedan nasdempksperindohanura ganjar pranowo pdippsi ridwan kamil golkarpanppp,bekasi,neutral
124,2022-11-29 05:38:03+00:00,pecah saudara saudara presiden gubernur rakyat indonesia prabowo subianto, jakarta,neutral
125,2022-10-31 10:30:02+00:00,capres boneka mandiri merdeka bravo anies,jakarta,positive
126,2022-01-27 05:17:46+00:00,emang kerja menteri bumn dgn gebrak yg keren gak salah beliau masuk daftar capres pasang dgn mr white keren tuh, surabaya,positive
127,2022-03-11 13:49:20+00:00,wacana tunda milu kian kuat tolak usul khawatir publik takut perintah otoriter nyata cc,yogyakarta,neutral
128,2022-02-27 05:48:51+00:00,si imin pkb mundur coba survei ulang maju, jakarta,neutral
129,2022-06-29 13:08:19+00:00,jelang milu radikal radikul teruuuussss adu prestasi adu gagas brooowww,semarang,neutral
130,2022-02-28 03:33:17+00:00,menang telak partai jauh rakyat panjang jabat presiden yg baru milu tutup ujung curang,jakarta,negative
131,2023-01-30 12:50:21+00:00,moga anies maju pilpres,malang,positive
132,2022-01-28 04:44:26+00:00,moga dekat pilpres elektabilitas kang emil tingkat yess,surabaya,positive
133,2022-05-24 05:05:38+00:00,pilpres lari nya emang lu tau gw milih sapa otak dangkaldikit pilpreslagak orang pintar ja kau,jakarta,negative
134,2022-11-27 12:41:56+00:00,barangkali salah rakyat pilih langsung pilpres dkk moga hak rakyat nkri, jakarta,positive
135,2022-08-29 22:46:37+00:00,urus rakyat wadas aja sampe kaya perang gimana kalo presiden perang dunia,bandung,negative
136,2022-03-30 11:20:33+00:00,reposted from hasil rekapitulasi pdpb kota salatiga maret orang rincian laki laki perempuan,malang,neutral
137,2022-04-30 05:37:03+00:00,ya gak protes emang tau nyapres orang psi aja gak kenal ya gk senggol,jakarta,negative
138,2022-06-30 18:06:36+00:00,ganjar afdol presiden klu gak percaya ayo coblos nama h nya,surabaya,positive
139,2022-08-02 14:48:14+00:00,tuju yg nikmat suasana jelang milu,surabaya,neutral
140,2022-06-28 11:30:55+00:00,milu elo data darimana suara nasdem turun drastis survey,depok,neutral
141,2022-01-31 23:18:54+00:00,senewen amatdimana situ partai merah panas awas loh kepincutnanti lamar anies capres,depok,positive
142,2022-05-29 01:57:37+00:00,ganjar top dukung alir rakyat desa kampung kenal sosok kali deklarasi rawan ganjar sodara kalimantan dukung penuh ganjar presiden th aamiin,jakarta ,positive
143,2022-02-25 07:25:21+00:00,sih tuju sjkarena blm yg beliau dukung istirahat beliau sdh lelah utk pikir negara sdh nya momong cucu jan ethes neng banget lho walikotagubernurpresiden,bandung,neutral
144,2023-01-31 14:16:48+00:00,selamat presiden moga humble amanah junjung toleransi,tangerang,positive
145,2022-10-30 05:29:33+00:00,anies prabowo harap salah satu menang pilpres kalo satu,tangerang,positive
146,2022-06-30 15:46:03+00:00,blunder lo rasain kursi capres,jakarta,negative
147,2023-01-31 15:51:43+00:00,dukung bodoh capres mantan gub jakarta umum amp pasang capres klo bacapres betol uu milu sah clear, jakarta,negative
148,2022-06-24 00:48:17+00:00,mantap mas ahy juang rakyat bangsa negara izin allah karna allah presiden anies ahy moga allah izin menang pilpres amiiiiiiin, jakarta,positive
149,2022-09-28 13:38:31+00:00,presiden jawa pimpin aja miskin,yogyakarta,negative
150,2022-10-31 23:29:06+00:00,ganjar presidenapa duniacari yg inimrputinmalaysia australia kencing celanauraaa,jakarta,negative
151,2022-02-25 14:50:54+00:00,yg milu ditundadiundur sdh jawab menang lawan anies baswedan dah gitu aja koktitik iya, jakarta,negative
152,2022-02-19 09:21:39+00:00,mantul sbg menhan yg beli rafale cina dadak dekat ri dukung bpk capres terus amp smoga pilih drpd anies dukung gerombol radikal puan andal trah leluhur,jakarta,positive
153,2022-06-30 14:17:44+00:00,salah pilih capres pengaruh coattail effect alias efek ekor jas harap parpol jaga ritme jelang pilpres sembari cari peluang lebih sila baca majalah gatra edisi baru,jakarta,neutral
154,2022-01-19 10:18:22+00:00,klo lego utk kota ya gak jgn lego utk biaya milu pilpres,jakarta,neutral
155,2022-08-29 04:00:58+00:00,pandemik covid reda moga pandemik musibah yg landa global regional pilpres capres nasdem anies baswedan ganjar pranowo yg pilih presiden, tangerang,positive
156,2022-09-30 23:50:16+00:00,orab turun arab presiden yg orang jawa primbon jawa kejawen jawa, tangerang,negative
157,2022-11-30 16:13:15+00:00,kib kerucut kriteria capres cawapres pilpres,semarang,neutral
158,2022-08-28 23:34:23+00:00,presiden ya ya,surabaya ,positive
159,2022-07-27 07:49:58+00:00,baik ya cawapres sj buya adik kudu ngalah kang mas klo pasang capres cawapres kakak adik catat sejarah demokrasi indonesia dukung,tangerang,neutral
160,2022-10-31 14:43:10+00:00,jeneng emang apik tur joss tenan buzzernya hobi banget musuh yg ga gimana satu indonesia pilih presiden polarisasi kalo orangw kaya mas eko kasih ruang,surabaya,negative
161,2022-10-30 03:15:27+00:00,tarik n gadang mo bacapres tpi mental tempe,surabaya,negative
162,2022-07-11 02:51:01+00:00,ikn pulih ekonomi aparat birokrasi imbau politik,bandung,neutral
163,2023-01-31 04:30:07+00:00,dikit nyoblos ygy, jakarta,neutral
164,2022-11-30 04:43:49+00:00,moga pa listyo tabah tegak hukum pandang bulu polri sigap jelang pilpres awal bangun ikn,bogor,positive
165,2022-01-28 00:35:39+00:00,pilpres inj yg sebar hoax manakoq,bekasi,negative
166,2022-11-27 13:42:08+00:00,moga anies menang pilpres bawa adil amp satu masyarakat indonesia salam waras,surabaya,positive
167,2022-11-28 23:36:25+00:00,lengkap potong inti bicara tegas presiden bela golong menang pilpres tegas pimpin negara presiden lawan pilpres,surabaya,neutral
168,2022-08-31 10:49:07+00:00,harap indonesia timur presiden ri didik utama raih mari deklarasi beliau presiden ri,surabaya,positive
169,2022-10-31 10:59:56+00:00,presiden nilai elektabilitas jadi menang saat milu yg tentu sabar aja elektabilitas gak jadi ajang bahagia yg pilpres kalah bilang curang, jakarta,neutral
170,2022-02-28 14:44:21+00:00,yg usul tunda milu pilpres tunda yg panjang jabat presiden kader parpol yg duduk parlemen tri,jakarta,neutral
171,2022-09-30 02:11:42+00:00,tahan nasionalis jebol pilpres mimpi indonesia emas tinggal kenang diri bangsa menang,jakarta,neutral
172,2022-11-29 13:09:50+00:00,agama jadi alas kotak kotak hidup negara,tangerang,neutral
173,2022-06-13 13:00:16+00:00,tinggal hitung jam tahap milu bismillah moga mudah lancar sehat laksana tugas depan,bekasi,positive
174,2022-03-31 08:06:39+00:00,tuju dah gw jenderal andika layak presiden nya pilpres ken banget jendral andika laga retorika debat doa pilpres selenggara, surabaya,positive
175,2022-07-27 05:02:30+00:00,alhamdulillah acara laksana moga ganjar pilih pilpres,yogyakarta,positive
176,2022-01-28 13:47:44+00:00,statement ngaco emang mesjid ulama ajak umpanya jamaah angkat senjata utk lawan perintah kalo aja lawan tidak adil wajar perintah tdk adil dzalim jk mesti jujur yg menang pilpres dagel,bandung,negative
177,2022-11-22 17:02:06+00:00,kalo udah pilpres kali lembaga muncul lantik urus saudara ketua klaim basis massa biar jual politik,bekasi,neutral
178,2023-01-30 04:31:01+00:00,blum jg beneran capres anies sdh lawan tangguh repot gimana beneran capres dukung produksi fitnah hoax seru,bekasi,negative
179,2022-09-29 04:16:41+00:00,kasiha bumi langit langit bumi cari presiden yg bumi getar langit,jakarta,negative
180,2022-03-30 12:37:26+00:00,moga ganjar presiden ganjar selamat pribumi cengkeram datar china jajirah arabpak prabowo anis,semarang,positive
181,2022-11-30 08:01:01+00:00,milu pagi kampanyeduit keburu habis main proyekudah baca banget laku luwan gagal, jakarta,negative
182,2022-04-29 06:26:58+00:00,pokoke tulis ganjar presiden aja udajh curi start duluaan klo bilang ganjar kenal org nama ganjar gitu lhooo,semarang,neutral
183,2022-01-27 07:50:33+00:00,jk mati menang kemenakan jd walikota makassar x pilih aja gak kalah sok sok jadiin org presiden,semarang,negative
184,2022-03-30 00:13:20+00:00,njar njar ngurusin provinsi aja loe kagak becus msh ngehayal jd presiden insyaf njareling malu,bandung,negative
185,2022-12-30 15:29:44+00:00,amp paslon capres top seng gak kalah,jakarta ,positive
186,2022-03-25 12:05:31+00:00,comunitas semangat sambut pilpres moga semankin komunitas daerah mendu penuh maju cak imin,semarang,positive
187,2022-09-30 13:04:27+00:00,klo prabowo sedia barpasangan anies capres wapres dahsatnya,jakarta,positive
188,2022-05-29 11:26:13+00:00,dgn pdip pdip nama capres yg habis koalisi sbg pion demokrasi jalan dgn,bandung,neutral
189,2022-08-30 15:57:15+00:00,sangka layak presiden wakil prank uda pesan baju batal panggil wapres,bandung,negative
190,2022-05-23 12:07:48+00:00,urusin kasus min kardus durianpartai suara jatah capres min ngimpi kali min, jakarta,negative
191,2022-10-30 09:26:19+00:00,pakar yg bicara erti visi arah pimpin bangsa yg ragu pilih dukung capres ri lanjut bijak bangun presiden,tangerang,positive
192,2022-06-30 07:54:01+00:00,restorasi indonesia capres integritas penuh prestasi, jakarta,positive
193,2022-08-31 08:59:54+00:00,capres bokep mania,jakarta,negative
194,2022-04-30 17:27:28+00:00,nihhh layak capres moga sehat,yogyakarta,positive
195,2022-04-30 13:31:08+00:00,dukung yg presiden inisiatif komunitas komunitas jaga amp bimbing rusak dgn politik identitas,bekasi,neutral
196,2022-08-29 02:28:24+00:00,tuju banget focus sukses pilpres contoh generasi terus, tangerang,positive
197,2022-11-24 07:06:41+00:00,sukaaaak banget liat tokoh cinta rakyat kerja pasang capres cawapres idola top moga mudah maju pilpres,yogyakarta,positive
198,2023-01-28 11:18:59+00:00,moga elektabilitas menang anies baswedan pilpres, jakarta,positive
199,2022-01-28 18:10:21+00:00,perludem harap selenggara milu kompatibel,jakarta,neutral
200,2022-03-31 06:24:33+00:00,entar pakai utk serang capres tahu cebong yg suka bolak balik fakta, jakarta,negative
201,2022-01-29 00:44:18+00:00,aslkmpak prabowo dukung prabowomaju capres warga tes bantensiap dukung prabowo,malang,positive
202,2022-04-30 14:12:36+00:00,presiden kadrun cocok wan anus si racun politik indonesia, jakarta,negative
203,2022-01-30 23:55:23+00:00,mantap capres idola,jakarta,positive
204,2022-11-01 10:40:46+00:00,selamat sukses luncur sistem informasi tangan langgar milu lapor sigaplapor bawaslu ri,surabaya,neutral
205,2022-06-29 15:20:37+00:00,blunder rugi gerus suara dah politik ga orang nyengol twitter ko langsung nyangut capres ko gampang,bandung,negative
206,2023-01-31 11:24:12+00:00,anies tiket capres capres pilih milu laksana,jakarta,neutral
207,2022-04-30 12:18:19+00:00,presiden depe nol persen,semarang ,negative
208,2023-01-31 16:21:29+00:00,selamat moga sehat presiden,bandung,positive
209,2022-02-25 10:44:04+00:00,gk prnh mnunjukn ambisi trs mlakukn krj sbgai menteri melakukn prbaikn skligus pmbersihan sllu mnempatkn sbgai ptugas presiden dgn kinerjaamp pncapaian yg calon potensial tabik, jakarta,positive
210,2022-05-28 07:24:19+00:00,nih capres yg tentang mandatory fucksin colek,surabaya,negative
