datetime,username,content,location,label,locations,sentiment,labels
2022-09-28 00:21:47+00:00,abdullah_yanto,"@maspiyuaja InsyaAllah semoga bisa Indonesia gelar pemilu pilpres pileg dgn JUJUR ADIL. Semua aparat2 negara netral Polri, Kemendagri, MK, KPU, Bawaslu Adil Independen. Menuju Indonesia yg lebih baik!",bandung,positive,bandung,insyaallah semoga indonesia gelar pemilu pilpres pileg dgn jujur adil aparat negara netral polri kemendagri mk kpu bawaslu adil independen indonesia yg,positive
2022-11-28 15:10:03+00:00,notfineer,@GanjaranApp @DPP_PPP Semoga segera ada kabar baiknya yaa pak mari terus kawal pak Ganjar untuk menjadi pemimpin dan memenangkan pilpres kita butuh sosok pemimpin seperti pak Ganjar,bandung,positive,bandung,semoga kabar baiknya yaa mari kawal ganjar pemimpin memenangkan pilpres butuh sosok pemimpin ganjar,positive
2023-01-31 23:38:41+00:00,MrEqualizer2024,"@keuangannews_id Pak @aniesbaswedan jika ditakdirkan jd presiden RI, tolong orang2 seperti ini jangan dikasih jabatan.",surabaya,neutral,surabaya,ditakdirkan jd presiden ri tolong orang dikasih jabatan,neutral
2022-01-31 05:01:58+00:00,UTsabith,"Gara gara Pak @aniesbaswedan ..
Makanya pak 2024 jadi Presiden",depok,positive,depok,gara gara presiden,positive
2022-02-28 02:41:24+00:00,at_Frederich18,@CNNIndonesia Tidak ada alasan atau pun situasi yang memaksa supaya #Pemilu2024 ditunda... #Pilkada2020 dilaksanakan saat Pandemi Covid-19 kondisi puncak karena anak &amp; menantu Jokowi ikut. Pindahkan Ibukota RI ke Kalimantan dengan dana (anggaran) besar juga tetap dipaksakan. #lucujuga Ã°Å¸Â¤Â¤, jakarta,neutral, jakarta,alasan situasi memaksa ditunda dilaksanakan pandemi covid kondisi puncak anak amp menantu jokowi pindahkan ibukota ri kalimantan dana anggaran dipaksakan,neutral
2022-05-28 04:13:40+00:00,ZaemKribo,"@Ryan19Musisi @susipudjiastuti @ganjarpranowo biar mikir
Biar dia sungguh2 ngurus jawa tengah
Kira kira mampu pa tidak,kalo orang seperti gankar ,ngotot ingin jadi presiden
Mungkin negara ini akan jadi termidkin sedunia", jakarta,negative, jakarta,biar mikir biar sungguh ngurus jawa pa kalo orang gankar ngotot presiden negara termidkin sedunia,negative
2022-04-24 21:10:35+00:00,ziandeschi,"@shanti_santia @ridwankamil Dukungan untuk ridwan kamil smakin banyak,semoga jd sinyal positiv untuk maju d pilpres 2024",semarang,positive,semarang,dukungan ridwan kamil smakin semoga jd sinyal positiv maju d pilpres,positive
2022-03-06 09:50:20+00:00,avarm_,"Jika pemilu benar ditunda, dampaknya tidak sederhana. Pendundaan pemilu artinya tak ada kompetisi untuk regenerasi kepemimpinan. Hal ini akan berdampak pada stagnasi ide. Hal ini juga berdampak terhambatnya kaderisasi partai politik. #Pemilu2024 https://t.co/N3H2cumux7",malang,neutral,malang,pemilu ditunda dampaknya sederhana pendundaan pemilu kompetisi regenerasi kepemimpinan berdampak stagnasi ide berdampak terhambatnya kaderisasi partai politik,neutral
2022-08-29 02:41:08+00:00,didihusadi,"@ganjarpranowo Berat pak pasca pilpres 2024,siapapun presidennya
1Ã¢â€“ÂªÃ¯Â¸Å½Rakyat miskin sesuai PBI BPJS Kes &gt;100 jt
2Ã¢â€“ÂªÃ¯Â¸Å½Angka Stunting 
3Ã¢â€“ÂªÃ¯Â¸Å½Pemerataan Pddkan murah&amp; bermutu
4Ã¢â€“ÂªÃ¯Â¸Å½Iklim ketenaga kerjaan
5Ã¢â€“ÂªÃ¯Â¸Å½Perumahan mkn sulit,terutama dikota besar krn property dipakai sbg investasi

STOP TKA !",depok,neutral,depok,berat pasca pilpres presidennya rakyat miskin sesuai pbi bpjs kes gt jt angka stunting pemerataan pddkan murahamp bermutu iklim ketenaga kerjaan perumahan mkn sulit dikota krn property dipakai sbg investasi stop tka,neutral
2022-02-26 09:29:51+00:00,titianggraini,"Jangan buat gaduh. Lebih baik kader dan elite parpol turun ke masyarakat dan berikan edukasi politik terbaik agar pemilih berorientasi pada politik gagasan dan tidak mudah terpecah belah oleh pendekatan emosional hegemoni identitas.

#Pemilu2024",jakarta,neutral,jakarta,gaduh kader elite parpol turun masyarakat edukasi politik terbaik pemilih berorientasi politik gagasan mudah terpecah belah pendekatan emosional hegemoni identitas,neutral
2022-06-27 09:35:21+00:00,AdiSwand2605,@yusuf_dumdum @aniesbaswedan semoga pak anies diberi kelancaran di pilpres 2024 menjadi presiden RI ..amiin,tangerang,positive,tangerang,semoga anies kelancaran pilpres presiden ri amiin,positive
2022-01-31 12:43:27+00:00,twprabowo,@Hayuningrat7 @aniesbaswedan Maju terus pak Anies. Semoga tidak hanya Jakarta yg merasakan kepemimpinan Bapak. Indonesia dan dunia menantiðŸ‘ðŸ‘ðŸ‘,bogor,positive,bogor,maju anies semoga jakarta yg merasakan kepemimpinan indonesia dunia,positive
2023-01-28 08:33:38+00:00,bagasgardu,@GanjaranApp Beliau bakalan maju terus nih semoga bisa sukses di pilpres pak,bandung,positive,bandung,beliau maju nih semoga sukses pilpres,positive
2022-03-30 23:59:23+00:00,kyaraprasetyo9,"Evoting belum bisa diterapkan pada pemilu 2024
#evoting #pemilu2024 #SistemEvotingPemilu2024 https://t.co/yeNfVCYmI3",jakarta ,neutral,jakarta ,evoting diterapkan pemilu,neutral
2022-10-30 02:24:11+00:00,HensuAja,"@ganjarpranowo Sulit memahami bahasa makhluk Alien seperti pak Ndul ini, tapi herannya yg ""diledeki"" pak Ndul kok mesti jadi Presiden ya ? Kemarin pak Jokowi juga ""diledekin"" sama pak Ndul ðŸ˜€ðŸ¤£ðŸ˜‚ðŸ«¢", jakarta,negative, jakarta,sulit memahami bahasa makhluk alien ndul herannya yg diledeki ndul mesti presiden ya kemarin jokowi diledekin ndul,negative
2022-05-28 05:40:16+00:00,Aliza67Aliza,"@Mpricopedes @ChusnulCh__ @ganjarpranowo Tidak pernah terjadi dimanapun, gubernurnya harus jadi presiden RI",bandung,neutral,bandung,dimanapun gubernurnya presiden ri,neutral
2022-07-29 17:17:11+00:00,PangeranBiru212,"@GarudaBerdarah @ganjarpranowo Seharusnya Presiden dipilih atas dukungan Propinsi, masa kepala negara di tentukan orang per orang. Yg pendidikannya rendah punya hak suara sama dengan yg pendidikan tinggi. Makanya hasilnya jokowi. Wkwkwk", jakarta,negative, jakarta,presiden dipilih dukungan propinsi kepala negara tentukan orang orang yg pendidikannya rendah hak suara yg pendidikan hasilnya jokowi wkwkwk,negative
2022-02-28 03:36:08+00:00,as_siglie,"Tdk laku dipasarsn Pilpres 2024.Para Ketum Parpol ramai2 sabotase Pemilu 2024.Mreka sdg dlm krisis kpercayaan publik tdk bs diteladan dlm kepemimpinan politik krn tdk ada figur yg bs ditonjolkan utk menjadi panutan rakyat

Skrg mreka ramai2 mendoktrin rakyat utk mlawan konstitusi",yogyakarta,negative,yogyakarta,tdk laku dipasarsn pilpres ketum parpol ramai sabotase pemilu mreka sdg dlm krisis kpercayaan publik tdk bs diteladan dlm kepemimpinan politik krn tdk figur yg bs ditonjolkan utk panutan rakyat skrg mreka ramai mendoktrin rakyat utk mlawan konstitusi,negative
2022-06-24 06:56:37+00:00,kaspito,Gimana kalau ternyata #Pemilu2024 diundur 1-2 tahun? Hayo lho?! @bawaslu_RI @KPU_ID @MPRRI @DPR_RI @PDI_Perjuangan @Gerindra @Golkar5 Undur saja 1 tahun utk #PemiluSerentak2024 menjadi #2025. Tambahkan 1 thn pada masa jabatan Presiden/WaPres menjadi 6 tahun &amp; 3 periode. Begitu.,jakarta,neutral,jakarta,gimana diundur hayo lho undur utk tambahkan thn jabatan presidenwapres amp periode,neutral
2022-04-30 02:26:48+00:00,xbm_021,"Jangan sampai Indonesia jatuh ke tangan yang salah.... Saya ikuti @TemanGanjar2705 di akun twitter saya karena saya mendukung @ganjarpranowo menjadi presiden RI selanjutnya. 

#GP4P2024",tangerang,positive,tangerang,indonesia jatuh tangan salah ikuti akun twitter mendukung presiden ri,positive
2022-02-26 10:09:25+00:00,MabacaKomunitas,Rezim sluman slumun slamet. Kalau aturan menghalangi ubah aturannya. Kalau aktifis rewel dan kritis tangkap dan retas. Wajar saja indeks demokrasinya babak belur tapi rezim asal bapak seneng: i dont read what i signed. #Pemilu2024 https://t.co/lbQupqFeTk, jakarta,negative, jakarta,rezim sluman slumun slamet aturan menghalangi ubah aturannya aktifis rewel kritis tangkap retas wajar indeks demokrasinya babak belur rezim seneng i dont read what i signed,negative
2022-03-27 04:11:29+00:00,meipri,pak @prabowo @Don_dasco ada yg ngarepin jabatan juga nih bukan pergantian presiden supaya Indonesia jadi lwbih baik. Tolong dikasih.,jakarta,negative,jakarta,yg ngarepin jabatan nih pergantian presiden indonesia lwbih tolong dikasih,negative
2022-07-31 08:00:30+00:00,Taufik_I_Smile,@prabowo halo pak Menhan. Kok Malingsia dibiarin masuk laut kita? Apa benar yg anda katakan dlu pas debat capres klo pertahanan kita lemah?,surabaya,negative,surabaya,halo menhan malingsia dibiarin masuk laut yg dlu pas debat capres klo pertahanan lemah,negative
2022-09-30 13:31:25+00:00,Mey_MeynieJT,@Omyung0505 @aniesbaswedan Wkwkwkkwwk presiden pajangan doank, jakarta,negative, jakarta,wkwkwkkwwk presiden pajangan doank,negative
2022-06-29 17:14:29+00:00,OrinsOrens,"@LindaSaibi3 @cendanao @SubhanDanil @Dennysiregar7 @ganjarpranowo Anies ga pernah ngomong soal jd presiden kok malah lo yg klaim, plagiat lo ðŸ¤­", jakarta,negative, jakarta,anies ga ngomong jd presiden lo yg klaim plagiat lo,negative
2022-10-31 05:48:50+00:00,aisyahnorin,@MardaniAliSera @aniesbaswedan Capres ecek2, jakarta,negative, jakarta,capres ecek,negative
2023-01-26 09:54:23+00:00,harisyaban,"Polarisasi pilpres sepertinya akan semakin keras.
Mungkin bisa brutal perang antar pendukung.!
Semoga kita punya kesadaran, untuk tidak berlebihan menjadi pendukung.
Yang wajarÂ² saja.",yogyakarta,positive,yogyakarta,polarisasi pilpres keras brutal perang pendukung semoga kesadaran pendukung wajar,positive
2022-11-28 18:24:37+00:00,DenBagus123789,"Bismillah,
 ya allah kupanjatkan doa dan kumohonkan padamu agar kedua saudaraku ini dpt berduet untuk maju di Pilpres 2024 dan dpt memenangkan pilpres dan pilwapres. Smga Allah memberikan jalan untuk beliau berdua memimpin Bangsa Indonesia.  Amin....ðŸ¤²ðŸ¤² https://t.co/ljIsLN7CCB",surabaya,positive,surabaya,bismillah ya allah kupanjatkan doa kumohonkan padamu saudaraku dpt berduet maju pilpres dpt memenangkan pilpres pilwapres smga allah jalan beliau berdua memimpin bangsa indonesia amin,positive
2022-04-30 23:34:52+00:00,dickrahar,"Saya rasa para calon capres spt @ganjarpranowo gak punya wkt utk sedih liat cara2 pendukungnya yg militan/rasis, spt juga @aniesbaswedan yg gak ambil pusing pada kelakuan pendukungnya.",jakarta,neutral,jakarta,calon capres spt gak wkt utk sedih liat pendukungnya yg militanrasis spt yg gak ambil pusing kelakuan pendukungnya,neutral
2022-11-29 15:51:50+00:00,Djohaneffendy1,@ganjarpranowo Panjenengan layak jadi Presiden selanjutnya menggantikan Pak Jokowi., jakarta,positive, jakarta,panjenengan layak presiden menggantikan jokowi,positive
2022-02-25 09:33:00+00:00,fauzanindonisi,@keuangannews_id Hahaha model gini ingin jadi capres...pusing gue...ayo @prabowo  @puanmaharani_ri kalian pantas memimpin negeri ini...jangan undur pilpres...,malang,negative,malang,hahaha model gini caprespusing gueayo memimpin negeri inijangan undur pilpres,negative
2023-01-31 18:35:43+00:00,fallsky90,"@BewoxajeNanang @alextham878 @ganjarpranowo Padahal arahanya suruh dukung ibu puan. Malah pilih ganjar yg jelas jelas incer ketum banteng. 
Kalo soal capres ganjar itumah hoax berbayar dari oligarki monyet.",bandung,negative,bandung,arahanya suruh dukung puan pilih ganjar yg incer ketum banteng kalo capres ganjar itumah hoax berbayar oligarki monyet,negative
2022-03-29 21:45:33+00:00,DewiOzza,"Meski Ganjar Pranowo Disebut Paling Layak Jadi Presiden 2024 Gantikan Jokowi.
Tapi Pak @ganjarpranowo tetap rendah hati dan tak jumawaðŸ‘ðŸ½

 https://t.co/bex4hpNL3N",jakarta ,positive,jakarta ,ganjar pranowo layak presiden gantikan jokowi rendah hati jumawa,positive
2022-05-31 16:34:48+00:00,gusdureen,"@republikaonline Bagusnya @prabowo jadi king maker kayak megawati sekarang.. kalau menang semua jabatan megawati sekarang bisa diborong, plus beberapa gelar profesor hc. Dari pada dibuli ""capres sejati"".. ya kan?",malang,negative,malang,bagusnya king maker kayak megawati menang jabatan megawati diborong plus gelar profesor hc dibuli capres sejati ya,negative
2022-03-30 23:29:22+00:00,Supriya72540457,"Pak @prabowo 
Pak @sandiuno 
Apakah setuju juga dg penundaan pemilu ?
Atau juga 3 periode?",bandung,neutral,bandung,setuju dg penundaan pemilu periode,neutral
2022-04-30 17:26:40+00:00,jejakachev,"Mantap, Makin yakin @aniesbaswedan Presiden RI dan @PKSejahtera partainya.",bogor,positive,bogor,mantap presiden ri partainya,positive
2022-01-31 23:11:03+00:00,HasibuEfendi," 
Assalamkm Pak Mentri Yang terhormat,saya prihatin dgn apa yg terjadi terhadap kasus edi mulyadi,saya harapagar bapak dapat menyampaikan kpd Bpk Presiden memanggil edi mulyadi dan menyelesaikannya secara adat
.",bandung,neutral,bandung,assalamkm mentri terhormat prihatin dgn yg edi mulyadi harapagar kpd bpk presiden memanggil edi mulyadi menyelesaikannya adat,neutral
2022-01-31 16:47:11+00:00,BoymauMuhammad,"@Dahnilanzar @prabowo @Kemhan_RI Bang Dahnil , tolong pak prabowo  fokus kerja ...nggak usah mimpi calon presiden lagi , beliau dah lewat.
Jgn bilang lagi akan timbul dan tenggelam bersama rakyat , sebab dia sudah tenggelam bersama oligarki.",semarang,negative,semarang,bang dahnil tolong prabowo fokus kerja nggak mimpi calon presiden beliau dah jgn bilang timbul tenggelam rakyat tenggelam oligarki,negative
2023-01-31 10:46:03+00:00,indramayu80cx,Andaikan saya jadi presiden 2024  dalam 100 hari utang indonesia sisa 20 % dari 100 % bagaimana caranya nanti saya kasih tau trik dan caranya indonesia kedepan lebih maju sejahterah @SBYudhoyono @hnurwahid @KompasTV @tvOneNews @aniesbaswedan @prabowo @jokowi,bandung,neutral,bandung,andaikan presiden utang indonesia sisa kasih tau trik indonesia kedepan maju sejahterah,neutral
2022-02-25 00:43:50+00:00,j_halasan,"@ganjarpranowo Mantap Calon Presiden saya ini yg mau melestarikan budaya wayang kita, dengan wayang juga bisa memberikan menyebarkan kebaikan kpd semua agama apalagi masa Pademic saat ini, maju terus Pak Ganjar Calon Presiden RI dari rakyat Indonesia &amp; maju terus budaya ku",jakarta,positive,jakarta,mantap calon presiden yg melestarikan budaya wayang wayang menyebarkan kebaikan kpd agama pademic maju ganjar calon presiden ri rakyat indonesia amp maju budaya ku,positive
2023-01-29 03:25:03+00:00,Panji_Ananta,"@abu_waras Min.., Jokowi udah selesai dgn dirinya..
Periode jabatannya pun akan segera berakhir..
NarasiÂ² hoax, fitnah, nkebencianmu disetiap twitmu sebenernya buat apa sih..?
Bukannya lebih baik ngangkat prestasi junjunganmu (itupun kalo ada) supaya bisa bersaing dgn @ganjarpranowo?",jakarta,negative,jakarta,min jokowi udah selesai dgn periode jabatannya narasi hoax fitnah nkebencianmu disetiap twitmu sebenernya sih ngangkat prestasi junjunganmu itupun kalo bersaing dgn,negative
2023-01-26 06:02:25+00:00,plsforgiveme76,"@RAMujiyono Alhamdulillah....
Semoga diberikan kekuatan , kemudahan dan kelancaran dan Kemenangan dalam Pilpres 2024 nanti...",bandung,positive,bandung,alhamdulillah semoga kekuatan kemudahan kelancaran kemenangan pilpres,positive
2022-12-31 05:02:27+00:00,real_aladiin,"Suatu kemunduran jika pemilu di laksanakan dengan sistem proporsional tertutup! Itu namanya kemunduran demokrasi!!
#Na5dem #NasdemNomer5 #ItsTime @NasDem @aniesbaswedan https://t.co/QVfdd50HRS",jakarta,neutral,jakarta,kemunduran pemilu laksanakan sistem proporsional tertutup namanya kemunduran demokrasi,neutral
2022-08-31 07:54:57+00:00,shalomaleychem,"@fuadbahari96 @cakimiNOW @prabowo @MediaHKTI Gus Muhaimin pemimpin muda lokal rasa interlokal yang enerjik, dinamis, yg sangat kita butuhkan ketokohannya pemimpin yang mampu melintasi dan menyelesaikan persoalan-persoalan sensitif.",surabaya,positive,surabaya,gus muhaimin pemimpin muda lokal interlokal enerjik dinamis yg butuhkan ketokohannya pemimpin melintasi menyelesaikan sensitif,positive
2022-02-28 11:38:25+00:00,ghanieierfan,"@__Sridiana_3va @aniesbaswedan di endonesah semua Salah giodbener 

makanya ada wacana pemilu di undur ama jokowi 3 periode",surabaya,negative,surabaya,endonesah salah giodbener wacana pemilu undur ama jokowi periode,negative
2022-02-28 23:57:57+00:00,Bangkitlah_Km50,@alisyarief Spy penggunaan apbn bisa ugal-ugalan peraturan diubah. Spy pilpres menang diumumkan malam,surabaya,neutral,surabaya,spy penggunaan apbn ugal ugalan peraturan diubah spy pilpres menang diumumkan malam,neutral
2022-06-15 19:52:23+00:00,Honkidesuyo11,"Parpol sadari daya rusak polarisasi
#politikidentitas #pemilu2024 #politik https://t.co/2g7KHyP33j",bandung,neutral,bandung,parpol sadari daya rusak polarisasi,neutral
2022-07-25 03:53:45+00:00,CutClavia,Sukseskan pilpres 2024 dan doakan Ganjar agar menang pada Pilpes 2024. Semoga berjalan lancar. #IstighosahGanjarPranowo https://t.co/7LQagDjWaA,jakarta,positive,jakarta,sukseskan pilpres doakan ganjar menang pilpes semoga berjalan lancar,positive
2022-11-26 08:50:48+00:00,_riverheaven,@Ferroferroferra Merinding yaaa... Bismillah kawal Pilpres dari Politik Identitas, jakarta,positive, jakarta,merinding yaaa bismillah kawal pilpres politik identitas,positive
2022-03-31 11:22:06+00:00,voidotid,"Elektabilitas Joko Widodo mengungguli nama-nama calon yang berpeluang ikut dalam kontestasi pemilihan presiden (Pilpres) 2024 dalam hasil survei lembaga Polmatrix terbaru. Survei Jokowi tertinggi dengan raihan 40,5 persen. https://t.co/N4ti6wdcQm",semarang,neutral,semarang,elektabilitas joko widodo mengungguli nama nama calon berpeluang kontestasi pemilihan presiden pilpres hasil survei lembaga polmatrix terbaru survei jokowi tertinggi raihan persen,neutral
2022-03-19 16:16:36+00:00,ImamJumhuri,"Mulai sekarang, rakyat dan seluruh tokoh masyarakat MENGAWAL PEMILU dan PILPRES 2024.
PERSIAP-SIAGAKAN SELURUHNYA.
MENJUNJUNG TINGGI dan MENGAWAL DEMOKRASI dan KONSTITUSI.
SIAPAPUN YG MAU MEMBEGALnya, SIKAT...!!!",semarang,neutral,semarang,rakyat tokoh masyarakat mengawal pemilu pilpres persiap siagakan menjunjung mengawal demokrasi konstitusi yg membegalnya sikat,neutral
2022-01-27 07:49:05+00:00,sirajapadoha,"Beginilah cara kami MENURUNKAN KEMISKINAN di Jawa Tengah.

Ini bukan soal siapa telah berjasa apa, tapi soal kerja bersama MEMAKMURKAN WARGA, salah satu caranya dgn MEMBANGUN RUMAH SEHAT LAYAK HUNI, kata pak @ganjarpranowo.

Setuju ðŸ‘ dgn pemikiran Capres saya ini di 2024 nanti. https://t.co/NANrd9zKgf",jakarta ,positive,jakarta ,menurunkan kemiskinan jawa berjasa kerja memakmurkan warga salah dgn membangun rumah sehat layak huni setuju dgn pemikiran capres,positive
2022-03-23 09:47:06+00:00,anugrahrandys,"Bahwa penolakan itu adalah prinsip yang dikehendaki bangsa ini. Bangsa ini sudah sepakat bahwa masa jabatan presiden hanya 5 tahun, dan maksimal 2 periode, bukan 3 atau 4 periode #LaNyalla #KataLaNyalla #PemiluSerentak2024",surabaya,neutral,surabaya,penolakan prinsip dikehendaki bangsa bangsa sepakat jabatan presiden maksimal periode periode,neutral
2022-07-31 20:32:44+00:00,PancasilaSaja,"@yusuf_dumdum @aniesbaswedan Nampol mas, kena skak nih kadrun, dia kira muslim NKRI senang politik identitas? politik yg nyata2 merusak persatuan. Kadrun ini salah opini krn muslim NKRI pun mematok syarat kemampuan kinerja bg calon pemimpin. Berkaca pd kebijakannya di DKI, Anies gak layak jd presiden. Itu!!!",depok,negative,depok,nampol mas kena skak nih kadrun muslim nkri senang politik identitas politik yg nyata merusak persatuan kadrun salah opini krn muslim nkri mematok syarat kemampuan kinerja bg calon pemimpin berkaca pd kebijakannya dki anies gak layak jd presiden,negative
2022-02-28 02:56:54+00:00,MissKoral,"Tujuannya adl bgmn Pilpres jg ditunda&amp;Jabatan Presiden diperpanjang tanpa proses Pemilu yg legal&amp;berujung menjegal Bakal Calon Presiden yg semakin hari semakin tak terbendung elektabilitas&amp;popularitasnya utk tampil di Panggung Pemilihan Presiden 2024.
Mudah ditebak koq Ã°Å¸Â¤Â«Ã°Å¸Â¤â€Ã°Å¸Â¤Â­Ã°Å¸ËœÂ",surabaya,neutral,surabaya,tujuannya adl bgmn pilpres jg ditundaampjabatan presiden diperpanjang proses pemilu yg legalampberujung menjegal calon presiden yg terbendung elektabilitasamppopularitasnya utk tampil panggung pemilihan presiden mudah ditebak koq,neutral
