datetime,username,content,location,label
2022-11-28 15:10:03+00:00,notfineer,@GanjaranApp @DPP_PPP Semoga segera ada kabar baiknya yaa pak mari terus kawal pak Ganjar untuk menjadi pemimpin dan memenangkan pilpres kita butuh sosok pemimpin seperti pak Ganjar,"Bandung, Jawa Barat",positive
2023-01-31 23:38:41+00:00,MrEqualizer2024,"@keuangannews_id Pak @aniesbaswedan jika ditakdirkan jd presiden RI, tolong orang2 seperti ini jangan dikasih jabatan.",Surabaya,neutral
2022-01-31 05:01:58+00:00,UTsabith,"Gara gara Pak @aniesbaswedan ..
Makanya pak 2024 jadi Presiden",Depok,positive
2022-02-28 02:41:24+00:00,at_Frederich18,@CNNIndonesia Tidak ada alasan atau pun situasi yang memaksa supaya #Pemilu2024 ditunda... #Pilkada2020 dilaksanakan saat Pandemi Covid-19 kondisi puncak karena anak &amp; menantu Jokowi ikut. Pindahkan Ibukota RI ke Kalimantan dengan dana (anggaran) besar juga tetap dipaksakan. #lucujuga Ã°Å¸Â¤Â¤,"DKI Jakarta, Indonesia",neutral
2022-05-28 04:13:40+00:00,ZaemKribo,"@Ryan19Musisi @susipudjiastuti @ganjarpranowo biar mikir
Biar dia sungguh2 ngurus jawa tengah
Kira kira mampu pa tidak,kalo orang seperti gankar ,ngotot ingin jadi presiden
Mungkin negara ini akan jadi termidkin sedunia","DKI Jakarta, Indonesia",negative
2022-04-24 21:10:35+00:00,ziandeschi,"@shanti_santia @ridwankamil Dukungan untuk ridwan kamil smakin banyak,semoga jd sinyal positiv untuk maju d pilpres 2024",Semarang,positive
2022-03-06 09:50:20+00:00,avarm_,"Jika pemilu benar ditunda, dampaknya tidak sederhana. Pendundaan pemilu artinya tak ada kompetisi untuk regenerasi kepemimpinan. Hal ini akan berdampak pada stagnasi ide. Hal ini juga berdampak terhambatnya kaderisasi partai politik. #Pemilu2024 https://t.co/N3H2cumux7","Malang, Indonesia",neutral
2022-08-29 02:41:08+00:00,didihusadi,"@ganjarpranowo Berat pak pasca pilpres 2024,siapapun presidennya
1Ã¢â€“ÂªÃ¯Â¸Å½Rakyat miskin sesuai PBI BPJS Kes &gt;100 jt
2Ã¢â€“ÂªÃ¯Â¸Å½Angka Stunting 
3Ã¢â€“ÂªÃ¯Â¸Å½Pemerataan Pddkan murah&amp; bermutu
4Ã¢â€“ÂªÃ¯Â¸Å½Iklim ketenaga kerjaan
5Ã¢â€“ÂªÃ¯Â¸Å½Perumahan mkn sulit,terutama dikota besar krn property dipakai sbg investasi

STOP TKA !","Depok, Indonesia",neutral
2022-02-26 09:29:51+00:00,titianggraini,"Jangan buat gaduh. Lebih baik kader dan elite parpol turun ke masyarakat dan berikan edukasi politik terbaik agar pemilih berorientasi pada politik gagasan dan tidak mudah terpecah belah oleh pendekatan emosional hegemoni identitas.

#Pemilu2024",Jakarta,neutral
2022-06-27 09:35:21+00:00,AdiSwand2605,@yusuf_dumdum @aniesbaswedan semoga pak anies diberi kelancaran di pilpres 2024 menjadi presiden RI ..amiin,Tangerang,positive
2022-01-31 12:43:27+00:00,twprabowo,@Hayuningrat7 @aniesbaswedan Maju terus pak Anies. Semoga tidak hanya Jakarta yg merasakan kepemimpinan Bapak. Indonesia dan dunia menantiðŸ‘ðŸ‘ðŸ‘,"Bogor, Jawa Barat",positive
2023-01-28 08:33:38+00:00,bagasgardu,@GanjaranApp Beliau bakalan maju terus nih semoga bisa sukses di pilpres pak,Bandung,positive
2022-03-30 23:59:23+00:00,kyaraprasetyo9,"Evoting belum bisa diterapkan pada pemilu 2024
#evoting #pemilu2024 #SistemEvotingPemilu2024 https://t.co/yeNfVCYmI3","Jakarta Pusat, DKI Jakarta",neutral
2022-10-30 02:24:11+00:00,HensuAja,"@ganjarpranowo Sulit memahami bahasa makhluk Alien seperti pak Ndul ini, tapi herannya yg ""diledeki"" pak Ndul kok mesti jadi Presiden ya ? Kemarin pak Jokowi juga ""diledekin"" sama pak Ndul ðŸ˜€ðŸ¤£ðŸ˜‚ðŸ«¢","DKI Jakarta, Indonesia",negative
2022-05-28 05:40:16+00:00,Aliza67Aliza,"@Mpricopedes @ChusnulCh__ @ganjarpranowo Tidak pernah terjadi dimanapun, gubernurnya harus jadi presiden RI",Bandung,neutral
2022-07-29 17:17:11+00:00,PangeranBiru212,"@GarudaBerdarah @ganjarpranowo Seharusnya Presiden dipilih atas dukungan Propinsi, masa kepala negara di tentukan orang per orang. Yg pendidikannya rendah punya hak suara sama dengan yg pendidikan tinggi. Makanya hasilnya jokowi. Wkwkwk","DKI Jakarta, Indonesia",negative
2022-02-28 03:36:08+00:00,as_siglie,"Tdk laku dipasarsn Pilpres 2024.Para Ketum Parpol ramai2 sabotase Pemilu 2024.Mreka sdg dlm krisis kpercayaan publik tdk bs diteladan dlm kepemimpinan politik krn tdk ada figur yg bs ditonjolkan utk menjadi panutan rakyat

Skrg mreka ramai2 mendoktrin rakyat utk mlawan konstitusi",Yogyakarta,negative
2022-06-24 06:56:37+00:00,kaspito,Gimana kalau ternyata #Pemilu2024 diundur 1-2 tahun? Hayo lho?! @bawaslu_RI @KPU_ID @MPRRI @DPR_RI @PDI_Perjuangan @Gerindra @Golkar5 Undur saja 1 tahun utk #PemiluSerentak2024 menjadi #2025. Tambahkan 1 thn pada masa jabatan Presiden/WaPres menjadi 6 tahun &amp; 3 periode. Begitu.,Jakarta,neutral
2022-04-30 02:26:48+00:00,xbm_021,"Jangan sampai Indonesia jatuh ke tangan yang salah.... Saya ikuti @TemanGanjar2705 di akun twitter saya karena saya mendukung @ganjarpranowo menjadi presiden RI selanjutnya. 

#GP4P2024","Tangerang, Indonesia",positive
2022-02-26 10:09:25+00:00,MabacaKomunitas,Rezim sluman slumun slamet. Kalau aturan menghalangi ubah aturannya. Kalau aktifis rewel dan kritis tangkap dan retas. Wajar saja indeks demokrasinya babak belur tapi rezim asal bapak seneng: i dont read what i signed. #Pemilu2024 https://t.co/lbQupqFeTk,"DKI Jakarta, Indonesia",negative
2022-03-27 04:11:29+00:00,meipri,pak @prabowo @Don_dasco ada yg ngarepin jabatan juga nih bukan pergantian presiden supaya Indonesia jadi lwbih baik. Tolong dikasih.,Jakarta,negative
2022-07-31 08:00:30+00:00,Taufik_I_Smile,@prabowo halo pak Menhan. Kok Malingsia dibiarin masuk laut kita? Apa benar yg anda katakan dlu pas debat capres klo pertahanan kita lemah?,Surabaya,negative
2022-09-30 13:31:25+00:00,Mey_MeynieJT,@Omyung0505 @aniesbaswedan Wkwkwkkwwk presiden pajangan doank,"DKI Jakarta, Indonesia",negative
2022-06-29 17:14:29+00:00,OrinsOrens,"@LindaSaibi3 @cendanao @SubhanDanil @Dennysiregar7 @ganjarpranowo Anies ga pernah ngomong soal jd presiden kok malah lo yg klaim, plagiat lo ðŸ¤­","DKI Jakarta, Indonesia",negative
2022-10-31 05:48:50+00:00,aisyahnorin,@MardaniAliSera @aniesbaswedan Capres ecek2,"DKI Jakarta, Indonesia",negative
2023-01-26 09:54:23+00:00,harisyaban,"Polarisasi pilpres sepertinya akan semakin keras.
Mungkin bisa brutal perang antar pendukung.!
Semoga kita punya kesadaran, untuk tidak berlebihan menjadi pendukung.
Yang wajarÂ² saja.",Yogyakarta,positive
2022-11-28 18:24:37+00:00,DenBagus123789,"Bismillah,
 ya allah kupanjatkan doa dan kumohonkan padamu agar kedua saudaraku ini dpt berduet untuk maju di Pilpres 2024 dan dpt memenangkan pilpres dan pilwapres. Smga Allah memberikan jalan untuk beliau berdua memimpin Bangsa Indonesia.  Amin....ðŸ¤²ðŸ¤² https://t.co/ljIsLN7CCB",Surabaya,positive
2022-04-30 23:34:52+00:00,dickrahar,"Saya rasa para calon capres spt @ganjarpranowo gak punya wkt utk sedih liat cara2 pendukungnya yg militan/rasis, spt juga @aniesbaswedan yg gak ambil pusing pada kelakuan pendukungnya.",Jakarta,neutral
2022-11-29 15:51:50+00:00,Djohaneffendy1,@ganjarpranowo Panjenengan layak jadi Presiden selanjutnya menggantikan Pak Jokowi.,"DKI Jakarta, Indonesia",positive
2022-02-25 09:33:00+00:00,fauzanindonisi,@keuangannews_id Hahaha model gini ingin jadi capres...pusing gue...ayo @prabowo  @puanmaharani_ri kalian pantas memimpin negeri ini...jangan undur pilpres...,Malang,negative
2023-01-31 18:35:43+00:00,fallsky90,"@BewoxajeNanang @alextham878 @ganjarpranowo Padahal arahanya suruh dukung ibu puan. Malah pilih ganjar yg jelas jelas incer ketum banteng. 
Kalo soal capres ganjar itumah hoax berbayar dari oligarki monyet.","Bandung, Jawa Barat",negative
2022-03-29 21:45:33+00:00,DewiOzza,"Meski Ganjar Pranowo Disebut Paling Layak Jadi Presiden 2024 Gantikan Jokowi.
Tapi Pak @ganjarpranowo tetap rendah hati dan tak jumawaðŸ‘ðŸ½

 https://t.co/bex4hpNL3N","Jakarta Utara, DKI Jakarta",positive
2022-05-31 16:34:48+00:00,gusdureen,"@republikaonline Bagusnya @prabowo jadi king maker kayak megawati sekarang.. kalau menang semua jabatan megawati sekarang bisa diborong, plus beberapa gelar profesor hc. Dari pada dibuli ""capres sejati"".. ya kan?",Malang,negative
2022-03-30 23:29:22+00:00,Supriya72540457,"Pak @prabowo 
Pak @sandiuno 
Apakah setuju juga dg penundaan pemilu ?
Atau juga 3 periode?",Bandung,neutral
2022-04-30 17:26:40+00:00,jejakachev,"Mantap, Makin yakin @aniesbaswedan Presiden RI dan @PKSejahtera partainya.",Bogor,positive
2022-01-31 23:11:03+00:00,HasibuEfendi," 
Assalamkm Pak Mentri Yang terhormat,saya prihatin dgn apa yg terjadi terhadap kasus edi mulyadi,saya harapagar bapak dapat menyampaikan kpd Bpk Presiden memanggil edi mulyadi dan menyelesaikannya secara adat
.",Bandung,neutral
2022-01-31 16:47:11+00:00,BoymauMuhammad,"@Dahnilanzar @prabowo @Kemhan_RI Bang Dahnil , tolong pak prabowo  fokus kerja ...nggak usah mimpi calon presiden lagi , beliau dah lewat.
Jgn bilang lagi akan timbul dan tenggelam bersama rakyat , sebab dia sudah tenggelam bersama oligarki.",Semarang,negative
2023-01-31 10:46:03+00:00,indramayu80cx,Andaikan saya jadi presiden 2024  dalam 100 hari utang indonesia sisa 20 % dari 100 % bagaimana caranya nanti saya kasih tau trik dan caranya indonesia kedepan lebih maju sejahterah @SBYudhoyono @hnurwahid @KompasTV @tvOneNews @aniesbaswedan @prabowo @jokowi,Bandung,neutral
2022-02-25 00:43:50+00:00,j_halasan,"@ganjarpranowo Mantap Calon Presiden saya ini yg mau melestarikan budaya wayang kita, dengan wayang juga bisa memberikan menyebarkan kebaikan kpd semua agama apalagi masa Pademic saat ini, maju terus Pak Ganjar Calon Presiden RI dari rakyat Indonesia &amp; maju terus budaya ku",Jakarta,positive
2023-01-29 03:25:03+00:00,Panji_Ananta,"@abu_waras Min.., Jokowi udah selesai dgn dirinya..
Periode jabatannya pun akan segera berakhir..
NarasiÂ² hoax, fitnah, nkebencianmu disetiap twitmu sebenernya buat apa sih..?
Bukannya lebih baik ngangkat prestasi junjunganmu (itupun kalo ada) supaya bisa bersaing dgn @ganjarpranowo?","Jakarta, Indonesia",negative
2023-01-26 06:02:25+00:00,plsforgiveme76,"@RAMujiyono Alhamdulillah....
Semoga diberikan kekuatan , kemudahan dan kelancaran dan Kemenangan dalam Pilpres 2024 nanti...",Bandung,positive
2022-12-31 05:02:27+00:00,real_aladiin,"Suatu kemunduran jika pemilu di laksanakan dengan sistem proporsional tertutup! Itu namanya kemunduran demokrasi!!
#Na5dem #NasdemNomer5 #ItsTime @NasDem @aniesbaswedan https://t.co/QVfdd50HRS",Jakarta,neutral
2022-08-31 07:54:57+00:00,shalomaleychem,"@fuadbahari96 @cakimiNOW @prabowo @MediaHKTI Gus Muhaimin pemimpin muda lokal rasa interlokal yang enerjik, dinamis, yg sangat kita butuhkan ketokohannya pemimpin yang mampu melintasi dan menyelesaikan persoalan-persoalan sensitif.",Surabaya,positive
2022-02-28 11:38:25+00:00,ghanieierfan,"@__Sridiana_3va @aniesbaswedan di endonesah semua Salah giodbener 

makanya ada wacana pemilu di undur ama jokowi 3 periode",Surabaya,negative
2022-02-28 23:57:57+00:00,Bangkitlah_Km50,@alisyarief Spy penggunaan apbn bisa ugal-ugalan peraturan diubah. Spy pilpres menang diumumkan malam,Surabaya,neutral
2022-06-15 19:52:23+00:00,Honkidesuyo11,"Parpol sadari daya rusak polarisasi
#politikidentitas #pemilu2024 #politik https://t.co/2g7KHyP33j",Bandung,neutral
2022-07-25 03:53:45+00:00,CutClavia,Sukseskan pilpres 2024 dan doakan Ganjar agar menang pada Pilpes 2024. Semoga berjalan lancar. #IstighosahGanjarPranowo https://t.co/7LQagDjWaA,Jakarta,positive
2022-11-26 08:50:48+00:00,_riverheaven,@Ferroferroferra Merinding yaaa... Bismillah kawal Pilpres dari Politik Identitas,"DKI Jakarta, Indonesia",positive
2022-03-31 11:22:06+00:00,voidotid,"Elektabilitas Joko Widodo mengungguli nama-nama calon yang berpeluang ikut dalam kontestasi pemilihan presiden (Pilpres) 2024 dalam hasil survei lembaga Polmatrix terbaru. Survei Jokowi tertinggi dengan raihan 40,5 persen. https://t.co/N4ti6wdcQm",Semarang,neutral
2022-03-19 16:16:36+00:00,ImamJumhuri,"Mulai sekarang, rakyat dan seluruh tokoh masyarakat MENGAWAL PEMILU dan PILPRES 2024.
PERSIAP-SIAGAKAN SELURUHNYA.
MENJUNJUNG TINGGI dan MENGAWAL DEMOKRASI dan KONSTITUSI.
SIAPAPUN YG MAU MEMBEGALnya, SIKAT...!!!",Semarang,neutral
2022-01-27 07:49:05+00:00,sirajapadoha,"Beginilah cara kami MENURUNKAN KEMISKINAN di Jawa Tengah.

Ini bukan soal siapa telah berjasa apa, tapi soal kerja bersama MEMAKMURKAN WARGA, salah satu caranya dgn MEMBANGUN RUMAH SEHAT LAYAK HUNI, kata pak @ganjarpranowo.

Setuju ðŸ‘ dgn pemikiran Capres saya ini di 2024 nanti. https://t.co/NANrd9zKgf","Jakarta Selatan, DKI Jakarta",positive
2022-03-23 09:47:06+00:00,anugrahrandys,"Bahwa penolakan itu adalah prinsip yang dikehendaki bangsa ini. Bangsa ini sudah sepakat bahwa masa jabatan presiden hanya 5 tahun, dan maksimal 2 periode, bukan 3 atau 4 periode #LaNyalla #KataLaNyalla #PemiluSerentak2024",Surabaya,neutral
2022-07-31 20:32:44+00:00,PancasilaSaja,"@yusuf_dumdum @aniesbaswedan Nampol mas, kena skak nih kadrun, dia kira muslim NKRI senang politik identitas? politik yg nyata2 merusak persatuan. Kadrun ini salah opini krn muslim NKRI pun mematok syarat kemampuan kinerja bg calon pemimpin. Berkaca pd kebijakannya di DKI, Anies gak layak jd presiden. Itu!!!","Depok, Indonesia",negative
2022-02-28 02:56:54+00:00,MissKoral,"Tujuannya adl bgmn Pilpres jg ditunda&amp;Jabatan Presiden diperpanjang tanpa proses Pemilu yg legal&amp;berujung menjegal Bakal Calon Presiden yg semakin hari semakin tak terbendung elektabilitas&amp;popularitasnya utk tampil di Panggung Pemilihan Presiden 2024.
Mudah ditebak koq Ã°Å¸Â¤Â«Ã°Å¸Â¤â€Ã°Å¸Â¤Â­Ã°Å¸ËœÂ","Surabaya, Jawa Tengah",neutral
2022-04-25 14:32:27+00:00,wilmanbhigu1108,"@ChusnulCh__ @fadlizon @prabowo Pak Prabowo beda dengan Fadli Zong. Pak Prabowo itu menteri dan mantan Capres Indonesia, sedangkan Zong itu JUBIR TERORIS.","Tangerang, Banten",negative
2022-03-30 04:41:01+00:00,wigRahman,Beberapa waktu yang lalu Sekjen @PDI_Perjuangan @hasto66 membuka opsi pasangan capres @aniesbaswedan dengan cawapres @puanmaharani_ri. Apakah anda setuju dengan wacana ini?,"Kota Semarang, Jawa Tengah",neutral
2022-03-19 17:09:53+00:00,awyhadid,"sejalan dgn keinginan pengunduran pilpres 2024, entah knp rasanya semua aturan terkesan buru-buru direvisi.",Surabaya,neutral
2022-06-24 10:07:52+00:00,Bambang07700762,Semoga Pilpres 2024 tidak ada politik identitas karena mengancam persatuan bangsa,Semarang,positive
2022-01-31 06:50:30+00:00,publik_com,"Sudahlah jangan berharap pemerintah yang di pimpin Jokowi jatuh. Pilpres tinggal sebentar, siap kan jago mu untuk bisa menang saat pemilu.",Surabaya,neutral
2022-06-26 13:56:28+00:00,dwikisnd_,"Ditengah polarisasi yg terjadi, dampak dari pilpres sebelumnya &amp; kontestasi 2024 yg akan dtng. 

Kita harus waras dan bijak dlm menelaah informasi. Objektivitas haruslah menjadi landasan kita bersikap. Jika terlanjur fanatik, yoklah dikurangin. Semoga kita tdk mudah terprovokasi.",Malang,positive
2022-05-31 11:38:27+00:00,togarosilangit,"@ganjarpranowo Saya mendukung sekali Bpk menjadi presiden RI 2024, tapi pengamatan saya Jendral Andika yang akan ditetapkan jadi presiden RI 2024, karena istrinya, mirip dengan istri presiden presiden sebelum nya dalam penampilan, utamanya penutup kepala. Mohon maklum Pak. Tks.",Jakarta,neutral
2023-01-31 04:51:55+00:00,mibnusafari,"@abu_waras @ch_chotimah2 @ganjarpranowo Namanya jg lg usahaâ€¦.cari makan, mau kerja lainnya ngga punya keahlianâ€¦kecuali jualan HOAXðŸ¤®ðŸ¤®ðŸ¤®",Bandung,negative
2022-07-29 07:08:37+00:00,Aoliya_tigris,"@hervanka @ganjarpranowo Sekarang beliau masih punya tanggung jawab sbg gub jateng, kenapa harus nunggu jd presiden yg pilpresnya ajah baru 2024. Ini jalan yg kena aspal cuma 200 M, tp sebulan kemudian bergelombang lg karena truk muatan galian hilir mudik ga ada liburnya. Terus kapan mau mulusnya?",Semarang,negative
2022-12-31 11:08:44+00:00,DinaAkmal71,"@Tita83079013 @MUIPusat @aniesbaswedan Kata MUI, ga apa2 selama bs jd Presiden ntarnya, di baptis jga ga masalah ðŸ˜…ðŸ˜…",Jakarta,negative
2022-01-31 16:25:49+00:00,ampeldenta165,"Oh jadi Partai @DPP_PPP mau dukung @aniesbaswedan Capres toh..

Ora bakal menang..","Kota Surabaya, Jawa Timur",negative
2022-01-30 06:57:27+00:00,ibukostreborn,"Terima kasih pulau Dewata atas sambutan ramah nya pada kami,seluruh Relawan  #SahabatGanjar DPP,DPW,DPC SAGA Se Indonesia,
Mari kita gass pool mendukung @ganjarpranowo  sbg Presiden 2024.
Yang Benar Pilih Ganjar âœŠ https://t.co/x2FM7Gh85D",Bandung,positive
2022-01-24 22:40:26+00:00,RustamIbrahim,"Makin dekat Pilpres 2024 makin banyak hoax &amp;ujaran kebencian memenuhi medsos. Jika pemerintah terus biarkan/lamban menanganinya, akan menggelinding spt bola salju. Sbg pemimpin rakyat Presiden @Jokowi perlu tunjukkan sikap tegas dgn bicara. Tdk cukup serahkan kpd penegak hukum.",Jakarta,neutral
2022-09-28 15:46:48+00:00,mubasyirahmad37,@PejuangPuan Cocok nih pasangan buat melaju ke pilpres semoga masing-masing memiliki satu visi dan misi yaitu memajukan bangsa dengan damai dan saling toleransi satu sama lain ðŸ‘ðŸ‘ @puanmaharani_ri  #PuanMaharani,tangerang,positive
2022-11-30 06:00:48+00:00,i_artadana,aniesbaswedan Siapa+pun nnti presidennya ya mstii mampu membawa negeri ini makin maju dan menjauh dari KKN,Jakarta,positive
2022-01-31 07:18:09+00:00,Bolokot99370227,"@ridwankamil Sayang sekali, yang kayak gini gak bakalan bisa di bubarkan.
Karena di butuhkan.
#PemiluSerentak2024",Jakarta,neutral
2022-07-29 04:10:39+00:00,iwantarigan,Udah jd Presiden Silat saja yg penting ada Presidennya daripada Capres gagal maning @prabowo,Jakarta,negative
2022-09-30 03:43:26+00:00,Dhika_818,"@abu_waras Semoga kejahatan yang terstruktur, masif dan sistematis seperti pada pilpres 2019 tidak terulang lagi terhadap Anies Baswedan, aamiin yaa robbal aalamiin ðŸ™ðŸ™",Jakarta,positive
2022-03-31 17:01:09+00:00,danielhadiwijay,@Rizmaya__ Presiden @aniesbaswedan akan membuktikan kualitas hebatnya ketika memimpin negeri ini di 2024 onward.. suka atau tidak suka.. inilah realitanya,Jakarta ,positive
2022-02-28 10:15:15+00:00,_independen,"Jangan obok2 bangsa kami. Ngerti kamu!!!

https://t.co/XQH3o07mI5 

#PemiluSerentak2024",Jakarta,neutral
2022-05-31 04:00:56+00:00,IwidSoeryo,"@uv_firbilland @temponewsroom Biarin aja pak @prabowo maju lagi ... Kalo nantinya kalah lagi pun masih bisa jadi  PEMBANTU ... 
Siapa pun Presiden nya , beliau siap menjadi PEMBANTU nya ...
Betul begitu ???",Tangerang,negative
2022-02-28 08:11:49+00:00,kedeleitem,"@MSApunya @jokowi @aniesbaswedan Salah Anies Baswedan dong. Minyak goreng langka bisa diatasi jika Pemilu ditunda, dananya buat beli migor murah buat rakyat. Ahiw..",Tangerang,negative
2022-08-30 03:41:25+00:00,Joker_Wedoks,@wantahgdn__ @ganjarpranowo Semoga jadi real di pilpres 2024...utk keunggulan pak @ganjarpranowo ..amin,"Jakarta Utara, DKI Jakarta",positive
2022-02-27 14:31:01+00:00,oweyoku,@Humanenscent @nemzunjuseyo @jokowi @prabowo ANYING ITU PRESIDEN NGPA DI TAG,Bandung,negative
2022-10-31 13:06:47+00:00,Kaki_Langith,"@putri_Aalona @ganjarpranowo Pak @ganjarpranowo hatiÂ² bnyk Kadrun menyamar jd relawan dgn tujuan ADU DOMBA ketum PDIP ibu Mega dgn Presiden @jokowi. Dan ingat Pak Ganjar bisa sprti ini Krn andil PDIP, jd biarkan mengalir sprt air kemanapun Bpk melangkah. Hny dgn adu domba Wan Toa bin Kibul mencapai tujuannya","Jakarta, Indonesia",negative
2022-02-26 13:30:13+00:00,bumnbersatu,"bukti Rakyat Enga setuju Pemilu ditunda, krn saat di survei litbang Kompas , ketika ditanyakan jika Pemilu digelar hari ini, Parpol mana yg akan dipilih? yg memilih  82,4% , yg tidak memilih 17,6% ( menunjukan rakyat ingin Pemilu digelar thn 2024 bukan ditunda @jokowi @prabowo",Bandung,neutral
2022-02-28 19:03:30+00:00,WarasWareg,"Ogaaah...pake bangetâ€¼ï¸
Siapapun capres 2024, jangan rekrut mereka jd relawan kalian.

Voter boleh, relawan janganâ€¼ï¸

@aniesbaswedan 
@ganjarpranowo 
@ridwankamil 
@prabowo 
@sandiuno","Jakarta Utara, DKI Jakarta",negative
2022-06-22 17:29:39+00:00,aindraku,@Elfit_HP @dapitdong Yups. Pilpres itu yang akan dipilih pasangan. Jangan terpaku hanya sama satu orang saja. Nanti bingung sendiri kalau pasangannya kontroversial Ã°Å¸ËœÅ½,Bandung,neutral
