datetime,locations,sentiment,labels
2022-09-28 00:21:47+00:00,bandung,insyaallah semoga indonesia gelar pemilu pilpres pileg dgn jujur adil aparat negara netral polri kemendagri mk kpu bawaslu adil independen indonesia yg,positive
2022-11-28 15:10:03+00:00,bandung,semoga kabar baiknya yaa mari kawal ganjar pemimpin memenangkan pilpres butuh sosok pemimpin ganjar,positive
2023-01-31 23:38:41+00:00,surabaya,ditakdirkan jd presiden ri tolong orang dikasih jabatan,neutral
2022-01-31 05:01:58+00:00,depok,gara gara presiden,positive
2022-02-28 02:41:24+00:00, jakarta,alasan situasi memaksa ditunda dilaksanakan pandemi covid kondisi puncak anak amp menantu jokowi pindahkan ibukota ri kalimantan dana anggaran dipaksakan,neutral
2022-05-28 04:13:40+00:00, jakarta,biar mikir biar sungguh ngurus jawa pa kalo orang gankar ngotot presiden negara termidkin sedunia,negative
2022-04-24 21:10:35+00:00,semarang,dukungan ridwan kamil smakin semoga jd sinyal positiv maju d pilpres,positive
2022-03-06 09:50:20+00:00,malang,pemilu ditunda dampaknya sederhana pendundaan pemilu kompetisi regenerasi kepemimpinan berdampak stagnasi ide berdampak terhambatnya kaderisasi partai politik,neutral
2022-08-29 02:41:08+00:00,depok,berat pasca pilpres presidennya rakyat miskin sesuai pbi bpjs kes gt jt angka stunting pemerataan pddkan murahamp bermutu iklim ketenaga kerjaan perumahan mkn sulit dikota krn property dipakai sbg investasi stop tka,neutral
2022-02-26 09:29:51+00:00,jakarta,gaduh kader elite parpol turun masyarakat edukasi politik terbaik pemilih berorientasi politik gagasan mudah terpecah belah pendekatan emosional hegemoni identitas,neutral
2022-06-27 09:35:21+00:00,tangerang,semoga anies kelancaran pilpres presiden ri amiin,positive
2022-01-31 12:43:27+00:00,bogor,maju anies semoga jakarta yg merasakan kepemimpinan indonesia dunia,positive
2023-01-28 08:33:38+00:00,bandung,beliau maju nih semoga sukses pilpres,positive
2022-03-30 23:59:23+00:00,jakarta ,evoting diterapkan pemilu,neutral
2022-10-30 02:24:11+00:00, jakarta,sulit memahami bahasa makhluk alien ndul herannya yg diledeki ndul mesti presiden ya kemarin jokowi diledekin ndul,negative
2022-05-28 05:40:16+00:00,bandung,dimanapun gubernurnya presiden ri,neutral
2022-07-29 17:17:11+00:00, jakarta,presiden dipilih dukungan propinsi kepala negara tentukan orang orang yg pendidikannya rendah hak suara yg pendidikan hasilnya jokowi wkwkwk,negative
2022-02-28 03:36:08+00:00,yogyakarta,tdk laku dipasarsn pilpres ketum parpol ramai sabotase pemilu mreka sdg dlm krisis kpercayaan publik tdk bs diteladan dlm kepemimpinan politik krn tdk figur yg bs ditonjolkan utk panutan rakyat skrg mreka ramai mendoktrin rakyat utk mlawan konstitusi,negative
2022-06-24 06:56:37+00:00,jakarta,gimana diundur hayo lho undur utk tambahkan thn jabatan presidenwapres amp periode,neutral
2022-04-30 02:26:48+00:00,tangerang,indonesia jatuh tangan salah ikuti akun twitter mendukung presiden ri,positive
2022-02-26 10:09:25+00:00, jakarta,rezim sluman slumun slamet aturan menghalangi ubah aturannya aktifis rewel kritis tangkap retas wajar indeks demokrasinya babak belur rezim seneng i dont read what i signed,negative
2022-03-27 04:11:29+00:00,jakarta,yg ngarepin jabatan nih pergantian presiden indonesia lwbih tolong dikasih,negative
2022-07-31 08:00:30+00:00,surabaya,halo menhan malingsia dibiarin masuk laut yg dlu pas debat capres klo pertahanan lemah,negative
2022-09-30 13:31:25+00:00, jakarta,wkwkwkkwwk presiden pajangan doank,negative
2022-06-29 17:14:29+00:00, jakarta,anies ga ngomong jd presiden lo yg klaim plagiat lo,negative
2022-10-31 05:48:50+00:00, jakarta,capres ecek,negative
2023-01-26 09:54:23+00:00,yogyakarta,polarisasi pilpres keras brutal perang pendukung semoga kesadaran pendukung wajar,positive
2022-11-28 18:24:37+00:00,surabaya,bismillah ya allah kupanjatkan doa kumohonkan padamu saudaraku dpt berduet maju pilpres dpt memenangkan pilpres pilwapres smga allah jalan beliau berdua memimpin bangsa indonesia amin,positive
2022-04-30 23:34:52+00:00,jakarta,calon capres spt gak wkt utk sedih liat pendukungnya yg militanrasis spt yg gak ambil pusing kelakuan pendukungnya,neutral
2022-11-29 15:51:50+00:00, jakarta,panjenengan layak presiden menggantikan jokowi,positive
2022-02-25 09:33:00+00:00,malang,hahaha model gini caprespusing gueayo memimpin negeri inijangan undur pilpres,negative
2023-01-31 18:35:43+00:00,bandung,arahanya suruh dukung puan pilih ganjar yg incer ketum banteng kalo capres ganjar itumah hoax berbayar oligarki monyet,negative
2022-03-29 21:45:33+00:00,jakarta ,ganjar pranowo layak presiden gantikan jokowi rendah hati jumawa,positive
2022-05-31 16:34:48+00:00,malang,bagusnya king maker kayak megawati menang jabatan megawati diborong plus gelar profesor hc dibuli capres sejati ya,negative
2022-03-30 23:29:22+00:00,bandung,setuju dg penundaan pemilu periode,neutral
2022-04-30 17:26:40+00:00,bogor,mantap presiden ri partainya,positive
2022-01-31 23:11:03+00:00,bandung,assalamkm mentri terhormat prihatin dgn yg edi mulyadi harapagar kpd bpk presiden memanggil edi mulyadi menyelesaikannya adat,neutral
2022-01-31 16:47:11+00:00,semarang,bang dahnil tolong prabowo fokus kerja nggak mimpi calon presiden beliau dah jgn bilang timbul tenggelam rakyat tenggelam oligarki,negative
2023-01-31 10:46:03+00:00,bandung,andaikan presiden utang indonesia sisa kasih tau trik indonesia kedepan maju sejahterah,neutral
2022-02-25 00:43:50+00:00,jakarta,mantap calon presiden yg melestarikan budaya wayang wayang menyebarkan kebaikan kpd agama pademic maju ganjar calon presiden ri rakyat indonesia amp maju budaya ku,positive
2023-01-29 03:25:03+00:00,jakarta,min jokowi udah selesai dgn periode jabatannya narasi hoax fitnah nkebencianmu disetiap twitmu sebenernya sih ngangkat prestasi junjunganmu itupun kalo bersaing dgn,negative
2023-01-26 06:02:25+00:00,bandung,alhamdulillah semoga kekuatan kemudahan kelancaran kemenangan pilpres,positive
2022-12-31 05:02:27+00:00,jakarta,kemunduran pemilu laksanakan sistem proporsional tertutup namanya kemunduran demokrasi,neutral
2022-08-31 07:54:57+00:00,surabaya,gus muhaimin pemimpin muda lokal interlokal enerjik dinamis yg butuhkan ketokohannya pemimpin melintasi menyelesaikan sensitif,positive
2022-02-28 11:38:25+00:00,surabaya,endonesah salah giodbener wacana pemilu undur ama jokowi periode,negative
2022-02-28 23:57:57+00:00,surabaya,spy penggunaan apbn ugal ugalan peraturan diubah spy pilpres menang diumumkan malam,neutral
2022-06-15 19:52:23+00:00,bandung,parpol sadari daya rusak polarisasi,neutral
2022-07-25 03:53:45+00:00,jakarta,sukseskan pilpres doakan ganjar menang pilpes semoga berjalan lancar,positive
2022-11-26 08:50:48+00:00, jakarta,merinding yaaa bismillah kawal pilpres politik identitas,positive
2022-03-31 11:22:06+00:00,semarang,elektabilitas joko widodo mengungguli nama nama calon berpeluang kontestasi pemilihan presiden pilpres hasil survei lembaga polmatrix terbaru survei jokowi tertinggi raihan persen,neutral
2022-03-19 16:16:36+00:00,semarang,rakyat tokoh masyarakat mengawal pemilu pilpres persiap siagakan menjunjung mengawal demokrasi konstitusi yg membegalnya sikat,neutral
2022-01-27 07:49:05+00:00,jakarta ,menurunkan kemiskinan jawa berjasa kerja memakmurkan warga salah dgn membangun rumah sehat layak huni setuju dgn pemikiran capres,positive
2022-03-23 09:47:06+00:00,surabaya,penolakan prinsip dikehendaki bangsa bangsa sepakat jabatan presiden maksimal periode periode,neutral
2022-07-31 20:32:44+00:00,depok,nampol mas kena skak nih kadrun muslim nkri senang politik identitas politik yg nyata merusak persatuan kadrun salah opini krn muslim nkri mematok syarat kemampuan kinerja bg calon pemimpin berkaca pd kebijakannya dki anies gak layak jd presiden,negative
2022-02-28 02:56:54+00:00,surabaya,tujuannya adl bgmn pilpres jg ditundaampjabatan presiden diperpanjang proses pemilu yg legalampberujung menjegal calon presiden yg terbendung elektabilitasamppopularitasnya utk tampil panggung pemilihan presiden mudah ditebak koq,neutral
2022-04-25 14:32:27+00:00,tangerang,prabowo beda fadli zong prabowo menteri mantan capres indonesia zong jubir teroris,negative
2022-03-30 04:41:01+00:00, semarang,sekjen membuka opsi pasangan capres cawapres setuju wacana,neutral
2022-03-19 17:09:53+00:00,surabaya,sejalan dgn pengunduran pilpres knp aturan terkesan buru buru direvisi,neutral
2022-06-24 10:07:52+00:00,semarang,semoga pilpres politik identitas mengancam persatuan bangsa,positive
2022-01-31 06:50:30+00:00,surabaya,berharap pemerintah pimpin jokowi jatuh pilpres tinggal sebentar jago mu menang pemilu,neutral
2022-06-26 13:56:28+00:00,malang,ditengah polarisasi yg dampak pilpres amp kontestasi yg dtng waras bijak dlm menelaah informasi objektivitas landasan bersikap terlanjur fanatik yoklah dikurangin semoga tdk mudah terprovokasi,positive
2022-05-31 11:38:27+00:00,jakarta,mendukung bpk presiden ri pengamatan jendral andika ditetapkan presiden ri istrinya istri presiden presiden nya penampilan utamanya penutup kepala mohon maklum tks,neutral
2023-01-31 04:51:55+00:00,bandung,namanya jg lg usahacari makan kerja ngga keahliankecuali jualan hoax,negative
2022-07-29 07:08:37+00:00,semarang,beliau tanggung sbg gub jateng nunggu jd presiden yg pilpresnya ajah jalan yg kena aspal m tp sebulan bergelombang lg truk muatan galian hilir mudik ga liburnya mulusnya,negative
2022-12-31 11:08:44+00:00,jakarta,mui ga bs jd presiden ntarnya baptis jga ga,negative
2022-01-31 16:25:49+00:00, surabaya,oh partai dukung capres ora menang,negative
2022-01-30 06:57:27+00:00,bandung,terima kasih pulau dewata sambutan ramah nya relawan dpp dpw dpc saga indonesia mari gass pool mendukung sbg presiden pilih ganjar,positive
2022-01-24 22:40:26+00:00,jakarta,pilpres hoax ampujaran kebencian memenuhi medsos pemerintah biarkanlamban menanganinya menggelinding spt bola salju sbg pemimpin rakyat presiden tunjukkan sikap dgn bicara tdk serahkan kpd penegak hukum,neutral
2022-09-28 15:46:48+00:00,tangerang,cocok nih pasangan melaju pilpres semoga memiliki visi misi memajukan bangsa damai toleransi,positive
2022-11-30 06:00:48+00:00,jakarta,aniesbaswedan nnti presidennya ya mstii membawa negeri maju menjauh kkn,positive
2022-01-31 07:18:09+00:00,jakarta,sayang kayak gini gak bubarkan butuhkan,neutral
2022-07-29 04:10:39+00:00,jakarta,udah jd presiden silat yg presidennya capres gagal maning,negative
2022-09-30 03:43:26+00:00,jakarta,semoga kejahatan terstruktur masif sistematis pilpres terulang anies baswedan aamiin yaa robbal aalamiin,positive
2022-03-31 17:01:09+00:00,jakarta ,presiden membuktikan kualitas hebatnya memimpin negeri onward suka suka realitanya,positive
2022-02-28 10:15:15+00:00,jakarta,obok bangsa ngerti,neutral
2022-05-31 04:00:56+00:00,tangerang,biarin aja maju kalo kalah pembantu presiden nya beliau pembantu nya,negative
2022-02-28 08:11:49+00:00,tangerang,salah anies baswedan minyak goreng langka diatasi pemilu ditunda dananya beli migor murah rakyat ahiw,negative
2022-08-30 03:41:25+00:00,jakarta ,semoga real pilpres utk keunggulan amin,positive
2022-02-27 14:31:01+00:00,bandung,anying presiden ngpa tag,negative
2022-10-31 13:06:47+00:00,jakarta,hati bnyk kadrun menyamar jd relawan dgn tujuan adu domba ketum pdip mega dgn presiden ganjar sprti krn andil pdip jd biarkan mengalir sprt air kemanapun bpk melangkah hny dgn adu domba wan toa bin kibul mencapai tujuannya,negative
2022-02-26 13:30:13+00:00,bandung,bukti rakyat enga setuju pemilu ditunda krn survei litbang kompas pemilu digelar parpol yg dipilih yg memilih yg memilih menunjukan rakyat pemilu digelar thn ditunda,neutral
2022-02-28 19:03:30+00:00,jakarta ,ogaaahpake banget capres rekrut jd relawan voter relawan,negative
2022-06-22 17:29:39+00:00,bandung,yups pilpres dipilih pasangan terpaku orang bingung pasangannya kontroversial,neutral
2022-02-28 04:57:55+00:00,bandung,kl emg bner sprti ituknp ahaye ngotot pngn jd presiden,neutral
2022-07-26 11:31:36+00:00,jakarta,klu tdk suka nggak dipilih ngapain jg melarang orang jd capres pasang foto sj nggak berani melarang orang,neutral
2022-01-27 03:07:04+00:00,yogyakarta,ganjar yg terhormat mendukung presiden,positive
2022-07-31 14:05:24+00:00,jakarta,presidential threshold menjadikan demokrasi kt mnjdi demokrasi kriminal demokrasi jual beli perahu demokrasi yg kekuatan uang utk memenangkan kompetisi pilpres amp wapres selamatkann indonesia oligarki,neutral
2022-02-27 06:51:12+00:00, jakarta,wajarnya usulan penundaan pilpres dicabut penolakan meluas sekjend pdip tegaskan sikap pdip yg menolak pemilu diundurpemerintahampkpuampdpr jg putuskan pilpres pd focus persiapan pilpres berkwalitas,neutral
2022-04-30 09:56:38+00:00, bandung,dukung ganjar presiden,positive
2022-02-27 15:04:13+00:00, jakarta,giring mh udh gitu kmren bg msh pengen jokowi jdi presiden rakyat pengen tu jokowi mundur,neutral
2022-08-28 04:23:50+00:00,malang,elektabilitas ganjar anies teratas usung capres parpol,positive
2021-03-15 13:35:26+00:00,jakarta,ditengah ketidakpastian lemahnya penegakan hukum pemilu kerja berat semoga pemilu dgn problem yg muncul jadikan pelajaran utk,neutral
2022-02-23 00:26:15+00:00,tangerang,survey litbang kompas masyarakat puas kinerja pemerintah parpol pdip gerindra demokrat capres uzzer bingung survey menujukkan kinerja memuaskan favorit capres,neutral
2022-01-30 23:03:46+00:00, jakarta,maen presiden kah wan abud,negative
2022-08-31 23:29:45+00:00,jakarta ,ngga tumpengan nyembeleh kebo pas jokowi udah ngga presiden wujud syukur,negative
2022-05-31 01:32:32+00:00,surabaya,yes pas mantap ganjar presiden,positive
2022-02-28 12:00:43+00:00,jakarta,kalo yg unggul gak tunda pemiluakal sehat,neutral
2022-03-27 08:24:43+00:00,jakarta,dokter terawan berkarir ln drpd indonesia kontribusi keilmuan beliau dihargai butuh perhatian presiden menhan presiden,neutral
2022-12-26 13:16:50+00:00,bandung,semoga dg doa santri barokah nya jalan pilpres mudah kemenangan aamiin,positive
2022-11-29 22:42:49+00:00,depok,pimpin jateng kinerja dibocorkan warganya presiden knp dmikian krna beliau bener maksimal dlm melayani wargarakyat pemimpinyg embannya ya layak,positive
2022-03-31 04:16:16+00:00,surabaya,nikmatin aja sakit ati loe drun next presiden nambah sakit ati loe mending minggat yaman sono drunn bareng riziq cabul sono,negative
2022-05-18 23:35:51+00:00,jakarta,tanggung mensukseskan pemilu sehat bebas korupsi berintegritas selamat pimpinan kpk gagasannya,positive
2022-11-27 23:53:14+00:00,malang,prabowo negarawan dukung anies pilpres gubernur dki presiden ri momentum puncak prabowo presiden ri sayang manfaatkan pendukungnya kecewa,neutral
2022-08-31 00:22:22+00:00,jakarta,presiden omongan nya aja pemecah belah yg ngomong kayak gitu,negative
2022-03-24 23:17:24+00:00,jakarta,bismillah kemarin partai gelora menghadiri daring sidang judicial review uu no pemilihan mahkamah konstitusi mengusulkan pileg amp pilpres dilaksanakan terpisah pelaksanaan demokrasi berkualitas,positive
2022-02-28 05:35:27+00:00,jakarta ,hebat contoh pemilu undur gmn nih udah begah ruweeeet nya,negative
2022-12-30 20:59:13+00:00,bekasi,prediksi pilpres diikuti capres prabowo subianto gerindrapkb anies baswedan nasdempksperindohanura ganjar pranowo pdippsi ridwan kamil golkarpanppp,neutral
2022-11-29 05:38:03+00:00, jakarta,pecah saudara saudara presiden gubernur rakyat indonesia prabowo subianto,neutral
2022-10-31 10:30:02+00:00,jakarta,capres boneka mandiri merdeka bravo anies,positive
2022-01-27 05:17:46+00:00, surabaya,emang kinerjanya menteri bumn dgn gebrakan yg keren gak salah beliau masuk daftar capres berpasangan dgn mr white keren tuh,positive
2022-03-11 13:49:20+00:00,yogyakarta,wacana penundaan pemilu kian menguat penolakan usulan mengkhawatirkan publik ketakutan pemerintahan otoriter nyata cc,neutral
2022-02-27 05:48:51+00:00, jakarta,si imin pkb dimundurkan coba disurvei ulang dimajukan,neutral
2022-06-29 13:08:19+00:00,semarang,menjelang pemilu radikal radikul teruuuussss adu prestasi adu gagasan brooowww,neutral
2022-02-28 03:33:17+00:00,jakarta,menang telak partainya jauhi rakyat perpanjangan jabatan presiden yg terbaru pemilu tertutup ujungnya curang,negative
2023-01-30 12:50:21+00:00,malang,semoga anies maju pilpres,positive
2022-01-28 04:44:26+00:00,surabaya,semoga mendekati pilpres elektabilitas kang emil meningkat yess,positive
2022-05-24 05:05:38+00:00,jakarta,pilpres lari nya emang lu tau gw milih sapa otak dangkaldikit pilpreslagak orang pintar ja kau,negative
2022-11-27 12:41:56+00:00, jakarta,barangkali salah rakyat memilih langsung pilpres dkk semoga hak rakyat nkri,positive
2022-08-29 22:46:37+00:00,bandung,urus rakyat wadas aja sampe kaya perang gimana kalo presiden perang dunia,negative
2022-03-30 11:20:33+00:00,malang,reposted from hasil rekapitulasi pdpb kota salatiga maret orang rincian laki laki perempuan,neutral
2022-04-30 05:37:03+00:00,jakarta,ya gak protes emangnya tau nyapres orang psi aja gak kenal ya gk senggol,negative
2022-06-30 18:06:36+00:00,surabaya,ganjar afdol presiden klu gak percaya ayo coblos nama h nya,positive
2022-08-02 14:48:14+00:00,surabaya,tujuan yg menikmati suasana menjelang pemilu,neutral
2022-06-28 11:30:55+00:00,depok,pemilu elo data darimana suara nasdem turun drastis survey,neutral
2022-01-31 23:18:54+00:00,depok,senewen amatdimana disitu partai merah kepanasan awas loh kepincutnanti melamar anies capres,positive
2022-05-29 01:57:37+00:00,jakarta ,ganjar top dukungan mengalir rakyat desa kampung mengenal sosok kali deklarasi relawan ganjar sodara kalimantan mendukung penuh ganjar presiden th aamiin,positive
2022-02-25 07:25:21+00:00,bandung,sih setuju sjkarena blm yg beliau mendukung beristirahat beliau sdh lelah utk memikirkan negara sdh nya momong cucu jan ethes seneng banget lho walikotagubernurpresiden,neutral
2023-01-31 14:16:48+00:00,tangerang,selamat presiden semoga humble amanah junjung toleransi,positive
2022-10-30 05:29:33+00:00,tangerang,anies prabowo harap salah satunya menang pilpres kalo bersatu,positive
2022-06-30 15:46:03+00:00,jakarta,blunder lo rasain kursi capres,negative
2023-01-31 15:51:43+00:00, jakarta,pendukung bodoh capres mantan gub jakarta pengumuman amp pasang capres klo bacapres betol uu pemilu sah clear,negative
2022-06-24 00:48:17+00:00, jakarta,mantap mas ahy berjuang rakyat bangsa negara izin allah karna allah presiden anies ahy semoga allah mengizinkan menang pilpres amiiiiiiin,positive
2022-09-28 13:38:31+00:00,yogyakarta,presiden jawa dipimpinnya aja miskin,negative
2022-10-31 23:29:06+00:00,jakarta,ganjar presidenapa duniacari yg inimrputinmalaysia australia kencing celanauraaa,negative
2022-02-25 14:50:54+00:00, jakarta,yg pemilu ditundadiundur sdh jawabannya menang melawan anies baswedan dah gitu aja koktitik iya,negative
2022-02-19 09:21:39+00:00,jakarta,mantul sbg menhan yg membeli rafale cina mendadak mendekati ri dukung bpk capres meneruskan amp smoga terpilih drpd anies pendukungnya gerombolan radikal puan mengandalkan trah leluhur,positive
2022-06-30 14:17:44+00:00,jakarta,salah pilih capres berpengaruh coattail effect alias efek ekor jas diharapkan parpol menjaga ritme menjelang pilpres sembari mencari peluang selebihnya silakan baca majalah gatra edisi terbaru,neutral
2022-01-19 10:18:22+00:00,jakarta,klo dilego utk kota ya gak jgn dilego utk biaya pemilu pilpres,neutral
2022-08-29 04:00:58+00:00, tangerang,pandemik covid reda semoga pandemik musibah yg melanda global regional pilpres capres nasdem anies baswedan ganjar pranowo yg terpilih presiden,positive
2022-09-30 23:50:16+00:00, tangerang,orab keturunan arab presiden yg orang jawa primbon jawa kejawen jawa,negative
2022-11-30 16:13:15+00:00,semarang,kib kerucutkan kriteria capres cawapres pilpres,neutral
2022-08-28 23:34:23+00:00,surabaya ,presiden ya ya,positive
2022-07-27 07:49:58+00:00,tangerang,baiknya ya cawapres sj buya adik kudu ngalah kang mas klo pasangan capres cawapres kakak adik catatan sejarah demokrasi indonesia dukung,neutral
2022-10-31 14:43:10+00:00,surabaya,jenengan emang apik tur joss tenan buzzernya hobi banget musuh yg ga gimana menyatukan indonesia terpilih presiden polarisasi kalo orangw kaya mas eko dikasih ruang,negative
2022-10-30 03:15:27+00:00,surabaya,ditarik n gadang mo bacapres tpi mental tempe,negative
2022-07-11 02:51:01+00:00,bandung,ikn pulihkan ekonomi aparat birokrasi diimbau berpolitik,neutral
2023-01-31 04:30:07+00:00, jakarta,dikit nyoblos ygy,neutral
2022-11-30 04:43:49+00:00,bogor,semoga pa listyo tabah menegakkan hukum pandang bulu polri sigap menjelang pilpres mengawal pembangunan ikn,positive
2022-01-28 00:35:39+00:00,bekasi,pilpres inj yg sebar hoax manakoq,negative
2022-11-27 13:42:08+00:00,surabaya,semoga anies menang pilpres membawa keadilan amp persatuan masyarakat indonesia salam waras,positive
2022-11-28 23:36:25+00:00,surabaya,lengkap sepotong inti pembicaraan ketegasan presiden membela golongan pemenang pilpres ketegasan memimpin negara presiden berlawanan pilpres,neutral
2022-08-31 10:49:07+00:00,surabaya,harapan indonesia timur presiden ri pendidikan utama meraih mari deklarasi beliau presiden ri,positive
2022-10-31 10:59:56+00:00, jakarta,presiden nilai elektabilitas jadikan kemenangan disaat pemilu yg menentukan bersabar aja elektabilitas gak jadikan ajang kebahagiaan yg pilpres kalah bilangnya kecurangan,neutral
2022-02-28 14:44:21+00:00,jakarta,yg diusulkan ditunda pemilu pilpres ditunda yg diperpanjang jabatannya presiden kader parpol yg duduk parlemen kementrian,neutral
2022-09-30 02:11:42+00:00,jakarta,pertahanan nasionalis jebol pilpres mimpi indonesia emas tinggal kenangan pendiri bangsa menangis,neutral
2022-11-29 13:09:50+00:00,tangerang,agama jadikan alasan mengkotak kotak kehidupan negara,neutral
2022-06-13 13:00:16+00:00,bekasi,tinggal hitungan jam tahapan pemilu bismillah semoga kemudahan kelancaran kesehatan melaksanakan tugas kedepannya,positive
2022-03-31 08:06:39+00:00, surabaya,setuju dah gw jenderal andika layak presiden nya pilpres pengen banget jendral andika berlaga retorika berdebat berdoa pilpres diselenggarakan,positive
2022-07-27 05:02:30+00:00,yogyakarta,alhamdulillah acara terlaksana semoga ganjar terpilih pilpres,positive
2022-01-28 13:47:44+00:00,bandung,statement ngaco emang mesjid ulama mengajak umpanya jamaahnya mengangkat senjata utk lawan pemerintah kalo ajakan melawan ketidak adilan wajar pemerintah tdk adil dzalim jk mestinya jujur yg menang pilpres dagelan,negative
2022-11-22 17:02:06+00:00,bekasi,kalo udah pilpres kali lembaga bermunculan pelantikan pengurusnya saudara ketua klaim basis massa biar jualan politik,neutral
2023-01-30 04:31:01+00:00,bekasi,blum jg beneran capres anies sdh lawan tangguh merepotkan gimana beneran capres pendukung produksi fitnah hoax seru,negative
2022-09-29 04:16:41+00:00,jakarta,kasiha membumi langit melangit bumi cari presiden yg membumi menggetarkan langit,negative
2022-03-30 12:37:26+00:00,semarang,semoga ganjar presiden ganjar penyelamat pribumi cengkeraman dataran china jajirah arabpak prabowo anis,positive
2022-11-30 08:01:01+00:00, jakarta,pemilu kepagian kampanyeduit keburu habis main proyekudah kebaca banget kelakuan luwan gagal,negative
2022-04-29 06:26:58+00:00,semarang,pokoke tulisan ganjar presiden aja udajh curi start duluaan klo bilang ganjar memperkenalkan org namanya ganjar gitu lhooo,neutral
2022-01-27 07:50:33+00:00,semarang,jk matian menangkan kemenakannya jd walikota makassar x pemilihan aja gak kalah sok sokan jadiin org presiden,negative
2022-03-30 00:13:20+00:00,bandung,njar njar ngurusin provinsi aja loe kagak becus msh ngehayal jd presiden insyaf njareling malu,negative
2022-12-30 15:29:44+00:00,jakarta ,amp paslon capres top seng gak terkalahkan,positive
2022-03-25 12:05:31+00:00,semarang,comunitas bersemangat menyambut pilpres semoga semankin komunitas daerah menduku penuh kemajuan cak imin,positive
2022-09-30 13:04:27+00:00,jakarta,klo prabowo bersedia barpasangan anies capres wapres dahsatnya,positive
2022-05-29 11:26:13+00:00,bandung,dgn pdip pdip nama capres yg dihabisi koalisi sbg pion demokrasi berjalan dgn,neutral
2022-08-30 15:57:15+00:00,bandung,sangka layak presiden wakil prank uda pesan baju batal dipanggil wapres,negative
2022-05-23 12:07:48+00:00, jakarta,urusin kasusmu min kardus durianpartai suara jatah capres min ngimpi kali min,negative
2022-10-30 09:26:19+00:00,tangerang,pakar yg berbicara mengerti visi arah kepemimpinan bangsa yg ragu memilih mendukung capres ri melanjutkan kebijakan pembangunan presiden,positive
2022-06-30 07:54:01+00:00, jakarta,restorasi indonesia capres berintegritas penuh prestasi,positive
2022-08-31 08:59:54+00:00,jakarta,capres bokep mania,negative
2022-04-30 17:27:28+00:00,yogyakarta,nihhh layak capres moga sehat,positive
2022-04-30 13:31:08+00:00,bekasi,dukungan yg presiden inisiatif komunitas komunitas jaga amp bimbing rusak dgn politik identitas,neutral
2022-08-29 02:28:24+00:00, tangerang,setuju banget focus sukseskan pilpres contoh generasi penerusnya,positive
2022-11-24 07:06:41+00:00,yogyakarta,sukaaaak banget liat tokoh dicintai rakyat kinerjanya pasangan capres cawapres idola top semoga dimudahkan maju pilpres,positive
2023-01-28 11:18:59+00:00, jakarta,semoga elektabilitas memenangkan anies baswedan pilpres,positive
2022-01-28 18:10:21+00:00,jakarta,perludem harapkan penyelenggara pemilu kompatibel,neutral
2022-03-31 06:24:33+00:00, jakarta,entar dipakai utk menyerang capres tahukan cebong yg suka membolak balikan fakta,negative
